Title,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018
Expenditure
Vote 13 - Chief Albert Luthuli International Convertional Centre,157831,131520,174369,166681,145850,156333,173289,185138,195872
13.1 - ICC,157831,131520,174369,166681,145850,156333,173289,185138,195872
Vote 14 - uShaka Marine World,167319,183439,193616,201800,212448,229990,238045,251075,269936
14.1 - uShaka Marine World,167319,183439,193616,201800,212448,229990,238045,251075,269936
Revenue
Vote 1 - Office of the City Manager,118510,158665,190780,308583,262138,278963,297865,317256,347758
1.1 - City Manager's Office,,,,7817,,103000,145145,156074,178692
1.2 - Corporate GIS,,,,58,27,,,,
1.3 - Audit,3,1,1,1,2,,,,
1.4 - Information Technology,9005,22957,21915,34928,28242,22647,32165,33773,35462
1.5 - Corporate Policy,6,71,472,500,2344,3155,1050,1053,55
1.6 - Ombudsperson & Investigations,,,,2,2,,,,
1.7 - Legal Services,576,530,610,902,730,1000,1050,1102,1102
1.8 - Performance Management,111,47,800,187,36,,,,
1.9 - Metropolitan Police,108809,135059,166982,264188,230755,149161,118455,125254,132447
Vote 2 - Finance,5842071,6028375,6874209,7892594,8509912,8829780,9633198,10339390,11155859
2.1 - Deputy City Manager,3,,,,,,,,
2.2 - Expenditure,29,23,82,37,41,39,41,43,45
2.3 - Income,198183,127967,167328,130471,217793,157850,179580,185872,192400
2.4 Finance and Major Projects,80915,53175,58489,59180,68995,62523,70040,73831,76042
2.5 - Internal Control & Business Systems,17025,7388,11897,7886,6067,3722,3906,4102,4173
2.6 - Real Estate,118539,110863,121940,109883,125801,142089,146533,153171,170251
2.7 - City Fleet,10329,5779,15951,11018,3878,10850,10776,10804,10833
2.8 - Durban Energy Office,1666,30020,9377,11801,718,20707,2668,2300,1000
2.9 - INK,,26995,,,,,,,
2.10 - Durban Transport,229196,182469,351320,160036,1678,840,819,845,872
2.11 - Assessment Rates,4086153,4070801,4332441,4935037,4597054,5408799,5820733,6197984,6630662
2.12 - Miscellaneous,1082372,1394384,1797645,2460683,3480563,3014944,3390314,3702261,4060995
2.13 - Supply Chain Management,17661,18511,7739,6562,7324,7417,7788,8177,8586
Vote 3 - Governance,5210,2068,3365,4704,4146,2774,2893,4804,3163
3.1 - Deputy City Manager,,,,,,,,,
3.2 - City Hall Administration & City Secretariat,2521,1195,1679,1231,1533,1221,1218,1358,1316
3.3 - Communications,14,9,2,3,1014,,,,
3.4 - Sizakala Customer Service,607,850,1266,1558,1599,1553,1675,3446,1847
3.5 - Community Participation & Action Support,,14,,36,,,,,
3.6 - SDB,,,,,,,,,
3.7 - International & Governance Relations,2068,,418,1876,,,,,
Vote 4 - Corporate and Human Resources,23821,20109,21405,2184,11275,12860,14793,14052,14755
4.1 - Deputy City Manager,35,,,,,,,,
4.2 - Human Resources,39,31,27,32,14,,,,
4.3 - Skills Development,23203,19616,20947,2056,11260,12860,14793,14052,14755
4.4 -Occupational Health and Safety,1,1,1,2,1,,,,
4.5 - Management Services and Org. Development,543,461,430,94,0,,,,
Vote 5 - Economic Development & Planning,1150679,273680,150698,268203,234588,271555,352647,344701,403647
5.1 - Deputy City Manager,,29,,,,,,,
5.2 - Economic Development & Facilitation,196491,76209,12652,48804,77344,96422,132289,126342,182068
5.3 - City Enterprises,1268,839,1063,39,1738,733,927,973,1022
5.4 - Business Support,6930,8455,8526,9066,9512,10003,12075,44701,33412
5.5 - Retail Markets,9344,9282,9072,9792,10699,11020,10774,10958,18938
5.6 - Development Planning & Management,34619,35877,26790,34035,35343,66345,93565,68847,56059
5.7 - Area Based Management,62136,3877,20566,3709,29,32,33,34,35
5.8 - Strategic Projects,839891,139112,72029,162758,99923,87000,102984,92846,112113
Vote 6 - Community and Emergency Services,123486,100601,105430,170388,163363,416289,385217,402290,416722
6.1 - Deputy City Manager,,,1000,35,131,330,,,
6.2 - Emergency Services,6213,6913,7117,16992,9108,19501,23377,21235,20492
6.3 - Disaster Management and emergency control,,3,,1239,1398,1368,1451,1497,1500
6.4 - Emergency Control Centre,,,,,,,,,
6.5 - Security Management,,,130,,,,,,
6.6 - Safer Cities,50,,,,,,1330,,
6.7 - Health,56779,51724,56981,73476,98658,81452,79484,85972,83096
"6.8 - Parks, Recreation, Cemetries and Culture",60444,41961,40202,78646,54068,313638,279575,293586,311634
Vote 7 - Human Settlements and Infrastructure,3036535,2038709,3168779,3038374,3598950,4531516,5176859,5322783,5626216
7.1 - Deputy City Manager,1970,1797,3106,31,0,259,20,20,20
7.2 - Housing,1160620,219160,785193,201971,135486,900166,1307987,1279979,1248718
7.3 - Engineering,431655,110739,243024,521023,345623,116156,164843,115850,117161
7.4 - eThekwini Transport Authority,472364,136553,187379,153164,545497,965361,1219228,1254670,1353438
7.5 - Sanitation,411645,916719,1210716,1270347,1728815,1640109,1502962,1612863,1777516
7.6 - Cleansing and Solid Waste,6560,5251,715620,863370,820039,879325,952339,1027675,1095210
7.7 - Gas to Electricity,551721,648490,23741,28468,23490,30140,29480,31726,34153
Vote 8 - Electricity,6155480,7510183,8732946,9749704,9922052,11063940,12336000,13731815,15195007
8.1 - Electricity,6155480,7510183,8732946,9749704,9922052,11063940,12336000,13731815,15195007
Vote 9 - Water,2101297,2752069,2698040,2721891,3198818,4076514,4292497,4656307,5046227
9.1 - Water,2101297,2752069,2698040,2721891,3198818,4076514,4292497,4656307,5046227
Vote 10 - Formal Housing,231467,57295,66561,84860,114183,268177,121358,125321,126101
10.1 - Formal Housing,231467,57295,66561,84860,114183,268177,121358,125321,126101
Vote 11 - Markets,59584,57895,64848,70627,78951,77456,92573,97460,107256
11.1 - Markets,59584,57895,64848,70627,78951,77456,92573,97460,107256
Vote 12 - Airport,5052,5391,6216,6065,7345,7955,8220,8571,8933
12.1 - Airport,5052,5391,6216,6065,7345,7955,8220,8571,8933
Vote 13 - Chief Albert Luthuli International Convertional Centre,112488,134930,243376,165676,174878,167725,176411,185590,196032
13.1 - ICC,112488,134930,243376,165676,174878,167725,176411,185590,196032
Vote 14 - uShaka Marine World,129158,150093,152885,170880,183926,196394,208707,229239,246378
14.1 - uShaka Marine World,129158,150093,152885,170880,183926,196394,208707,229239,246378
